"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/dashboard/invoices/page.tsx", "TypeScript JSX", 20, 1, 9, 30
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/page.tsx", "TypeScript JSX", 44, 3, 11, 58
"Total", "-", 64, 4, 20, 88
