"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/components/ui/CosmiCalendar.tsx", "TypeScript JSX", 0, 96, 0, 5, 18, 119
"/Users/nssanjeev/Documents/cosmi/app/globals.css", "PostCSS", 0, 0, 15, 1, 5, 21
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/page.tsx", "TypeScript JSX", 0, -74, 0, -4, 1, -77
"/Users/nssanjeev/Documents/cosmi/lib/recurring.ts", "TypeScript", 19, 0, 0, 0, 2, 21
"Total", "-", 19, 22, 15, 2, 26, 84
