"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "JavaScript", "XML", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/providers/InvoiceProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 373, 0, 18, 114, 505
"/Users/nssanjeev/Documents/cosmi/app/providers/PayPalProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"/Users/nssanjeev/Documents/cosmi/app/providers/ToastProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 2, 11, 63
"/Users/nssanjeev/Documents/cosmi/app/signin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 184, 0, 11, 24, 219
"/Users/nssanjeev/Documents/cosmi/app/signout/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 1, 5, 25
"/Users/nssanjeev/Documents/cosmi/app/signup/company/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 11, 20, 133
"/Users/nssanjeev/Documents/cosmi/app/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 3, 14, 90
"/Users/nssanjeev/Documents/cosmi/app/test-auth/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/nssanjeev/Documents/cosmi/app/test-firebase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 1, 3, 23
"/Users/nssanjeev/Documents/cosmi/app/test-firestore/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
"/Users/nssanjeev/Documents/cosmi/eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 3, 19
"/Users/nssanjeev/Documents/cosmi/global.d.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 3, 17
"/Users/nssanjeev/Documents/cosmi/lib/date.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/nssanjeev/Documents/cosmi/lib/emailTemplates.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/nssanjeev/Documents/cosmi/lib/firebase.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 5, 24
"/Users/nssanjeev/Documents/cosmi/lib/invoiceLimits.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"/Users/nssanjeev/Documents/cosmi/lib/razorpay.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/nssanjeev/Documents/cosmi/lib/storage.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 5, 17
"/Users/nssanjeev/Documents/cosmi/next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/nssanjeev/Documents/cosmi/package-lock.json", "JSON", 0, 0, 0, 0, 0, 8702, 0, 0, 0, 1, 8703
"/Users/nssanjeev/Documents/cosmi/package.json", "JSON", 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"/Users/nssanjeev/Documents/cosmi/postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/nssanjeev/Documents/cosmi/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/Users/nssanjeev/Documents/cosmi/public/file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/public/globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/public/window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Documents/cosmi/tailwind.config.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 1, 2, 29
"/Users/nssanjeev/Documents/cosmi/tsconfig.json", "JSON with Comments", 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/nssanjeev/Documents/cosmi/types/lord-icon.d.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"Total", "-", 23, 429, 42, 52, 5, 8741, 6403, 196, 401, 1572, 17864
