"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "XML", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/components/hero/HeroVisual.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 6, 6, 59
"/Users/nssanjeev/Documents/cosmi/app/components/ui/CosmiCalendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 6, 28, 173
"/Users/nssanjeev/Documents/cosmi/app/dashboard/analytics/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 420, 0, 18, 69, 507
"/Users/nssanjeev/Documents/cosmi/app/dashboard/clients/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 11, 42
"/Users/nssanjeev/Documents/cosmi/app/dashboard/clients/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 329, 0, 12, 94, 435
"/Users/nssanjeev/Documents/cosmi/app/dashboard/invoices/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 435, 0, 24, 136, 595
"/Users/nssanjeev/Documents/cosmi/app/dashboard/invoices/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 565, 0, 9, 141, 715
"/Users/nssanjeev/Documents/cosmi/app/dashboard/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 215, 0, 9, 30, 254
"/Users/nssanjeev/Documents/cosmi/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 812, 0, 46, 239, 1097
"/Users/nssanjeev/Documents/cosmi/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 275, 15, 49, 339
"/Users/nssanjeev/Documents/cosmi/app/head.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 4, 4, 22
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/components/invoice/InvoiceForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1028, 0, 47, 253, 1328
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/components/invoice/InvoicePreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 251, 0, 18, 62, 331
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/hooks/useInvoiceEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 326, 0, 40, 121, 487
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 1, 5, 109
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1090, 0, 36, 256, 1382
"/Users/nssanjeev/Documents/cosmi/app/invoice/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 612, 0, 35, 172, 819
"/Users/nssanjeev/Documents/cosmi/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 4, 10, 58
"/Users/nssanjeev/Documents/cosmi/app/onboarding/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 4, 27, 152
"/Users/nssanjeev/Documents/cosmi/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 243, 0, 15, 28, 286
"/Users/nssanjeev/Documents/cosmi/app/payment-success/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 13, 43
"/Users/nssanjeev/Documents/cosmi/app/pricing/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 8, 23, 149
