"filename", "language", "JSON", "TypeScript JSX", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/page.tsx", "TypeScript JSX", 0, 210, 3, 31, 244
"/Users/nssanjeev/Documents/cosmi/package-lock.json", "JSON", 44, 0, 0, 0, 44
"/Users/nssanjeev/Documents/cosmi/package.json", "JSON", 1, 0, 0, 0, 1
"Total", "-", 45, 210, 3, 31, 289
