"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/dashboard/analytics/page.tsx", "TypeScript JSX", 60, 2, 13, 75
"Total", "-", 60, 2, 13, 75
