"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/dashboard/page.tsx", "TypeScript JSX", 27, 0, 7, 34
"/Users/nssanjeev/Documents/cosmi/app/providers/AuthProvider.tsx", "TypeScript JSX", 30, 1, 14, 45
"Total", "-", 57, 1, 21, 79
